Date,DDoS-ALL,Phishing-ALL,Ransomware-ALL,Password Attack-ALL,Account Hijacking-ALL,Trojan-ALL,Vulnerability-ALL,Zero-day-ALL,Advanced persistent threat-ALL,Malware-ALL,Disinformation/Misinformation-ALL,Targeted Attack-ALL,Brute Force Attack-ALL,Backdoor-ALL,Botnet-ALL,Cryptojacking-ALL,DDoS,Phishing,Ransomware,Password_Attack,Account_Hijacking,Trojan,Vulnerability,Zero_day,Advanced_Persistent_Threat,Malware,Disinformation/Misinformation,Targeted_Attack,Brute_Force_Attack,Backdoor,Botnet,Cryptojacking,MITM,DNS_Spoofing,Dropper,Insider_Threat,Adversarial_Attack,Data_Poisoning,Deepfake,Supply_Chain,IoT_Device_Attack,Session_Hijacking,War_Conflict_All,Holidays,Solution_BLOCKCHAIN,Solution_ACCESS_CONTROL,Solution_ENCRYPTION,Solution_SUPPLY_CHAIN_RISK_MANAGEMENT,Solution_IDENTITY_MANAGEMENT,Solution_ML/DL,Solution_ANOMALY_DETECTION,Solution_CRYPTOGRAPHY,Solution_PENETRATION_TESTING,Solution_IDS/IPS,Solution_STATIC_ANALYSIS,Solution_DYNAMIC_ANALYSIS,Solution_MULTI_FACTOR_AUTHENTICATION,Solution_LEAST_PRIVILEGE,Solution_SESSION_MANAGEMENT,Solution_CAPTCHA,Solution_BLACKLISTING,Solution_RATE_LIMITING,Solution_GRAPHICAL_MODEL,Solution_HONEYPOT,Solution_SOFTWARE_DEFINED_NETWORK,Solution_GAME_THEORY,Solution_TRAFFIC_SHAPING,Solution_PACKET_FILTERING,Solution_BLACKHOLING,Solution_RANK_CORRELATION,Solution_STRONG_AUTHENTICATION,Solution_SSL/TLS,Solution_HTTPS,Solution_CONTINUOUS_AUTHENTICATION,Solution_IDENTITY_BASED_ENCRYPTION,Solution_DATA_SANITIZATION,Solution_OUTLIER_DETECTION,Solution_DATA_PROVENANCE,Solution_ADVERSARIAL_TRAINING,Solution_TRUSTWORTHY_AI,Solution_BAYESIAN_NETWORK,Solution_BEHAVIOR_BASED_DETECTION,Solution_FORMAL_VERIFICATION,Solution_SPLIT_MANUFACTURING,Solution_VULNERABILITY_MANAGEMENT,Solution_FILE_INTEGRITY_MONITORING,Solution_VPN,Solution_PRIVACY_PRESERVING,Solution_SECURE_BOOT,Solution_MERKLE_SIGNATURE,Solution_LIVENESS_DETECTION,Solution_3D_FACE_RECONSTRUCTION,Solution_BIOMETRICS,Solution_DIGITAL_WATERMARK,Solution_APPLICATION_WHITELISTING,Solution_DATA_BACKUPS,Solution_HIDDEN_MARKOV_MODEL,Solution_PATCH_MANAGEMENT,Solution_DATA_AUGMENTATION,Solution_DIMENSIONALITY_REDUCTION,Solution_DEFENSIVE_DISTILLATION,Solution_RRAM,Solution_SPATIAL_SMOOTHING,Solution_NOISE_INJECTION,Solution_TAINT_ANALYSIS,Solution_NETWORK_SEGMENTATION,Solution_USER_BEHAVIOR_ANALYTICS,Solution_DECEPTION_TECHNOLOGY,Solution_RISK_ASSESSMENT,Solution_DYNAMIC_RESOURCE_MANAGEMENT,Solution_SANDBOXING,Solution_DARKNET_MONITORING,Solution_VIRTUAL_KEYBOARDS,Solution_CODE_SIGNING,Solution_PUBLIC_KEY_INFRASTRUCTURE,Solution_MUTUAL_AUTHENTICATION,Solution_ONE_TIME_PASSWORD,Solution_DYNAMIC_BINARY_INSTRUMENTATION,Solution_PASSWORD_HASHING,Solution_DNSSEC,Solution_CERTIFICATE_PINNING,Solution_SECURE_SIMPLE_PAIRING,Solution_VULNERABILITY_ASSESSMENT,Solution_SIEM,Solution_STANDARDIZED_COMMUNICATION,Solution_CONTROL_FLOW_INTEGRITY,Solution_VULNERABILITY_SCANNER,Solution_PASSWORD_STRENGTH_METERS,Solution_PASSWORD_MANAGEMENT,Solution_PASSWORD_POLICY,Solution_GRAPHICAL_AUTHENTICATION,Solution_DATA_LOSS_PREVENTION,Solution_DATA_LEAKAGE_DETECTION/PREVENTION,Solution_ACTIVITY_MONITORING,Solution_MOVING_TARGET_DEFENSE,Solution_KEYSTROKE_DYNAMICS,Solution_ATTACK_TREE,Solution_DISTRIBUTED_LEDGERS,Solution_SOURCE_IDENTIFICATION,Solution_IMAGE_RECOGNITION,Solution_HYPERGAME,Solution_NLP/LLM
11-Jul,2,1,0,8,0,0,0,0,2,1,0,0,0,0,0,0,13,4,0,10,0,0,3,0,0,45,1,1,1,0,0,0,4,0,0,4,1,0,0,1,0,0,67,11,0,38,46,0,1,10,4,105,1,17,3,4,0,0,0,1,0,0,0,0,0,7,0,0,1,1,1,1,0,0,2,1,0,1,0,0,5,0,2,0,0,0,2,2,0,0,0,0,11,1,0,0,3,2,0,1,0,0,0,0,0,0,0,0,36,0,1,0,0,0,5,7,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0
11-Aug,2,-1,0,6,0,0,6,0,0,1,0,0,0,0,0,0,15,-2,0,-2,0,4,3,0,4,45,-1,1,3,0,6,0,-2,0,0,-4,7,0,0,-1,0,0,133,45,0,10,30,0,1,-2,4,55,-1,3,-1,2,0,2,0,-1,2,0,0,0,0,13,0,0,5,-1,-1,-1,0,0,4,-1,0,-1,0,0,-3,2,0,0,0,0,0,8,0,0,0,0,5,5,0,0,-3,-2,0,1,0,0,0,0,0,0,0,0,14,0,-1,0,0,0,1,-1,-2,0,-1,0,0,0,0,0,0,0,0,0,2,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0
11-Sep,2,-1.87,0,9.68,0,0.39,13.42,4.81,-0.48,2.04,0,0,0,0,0,0,15.61,-4.09,0,-7.09,0,5.48,3.26,0.13,5.61,46.04,-1.87,1.39,4.13,0.13,8.87,0,-4.22,0,0,-7.35,9.48,0,0,-1.74,0,0,160.8,59.79,0,-1.14,25.51,0,1,-6.83,4.13,35.33,-1.74,-1.79,-2.48,1.13,0,2.74,0,-1.74,2.87,0,0,0,0,15.09,0,0,6.35,-1.74,-1.35,-1.61,0,0,5.13,-1.87,0,-1.87,0,0,-5.83,2.87,-0.74,0,0,0,-0.87,10.74,0,0,0,0,2.26,6.48,0,0,-5.48,-3.74,0,0.87,0,0,0,0,0.13,0,0,0,5.6,0,-1.61,0,0,0,-0.74,-3.96,-3.74,0.13,-1.87,0,0,0,-1,0,0,0,0,0,2.74,0,0,-1.74,0,0.26,0,-1.87,-1.87,0,0.13,-1.87,0,0.13
11-Oct,6.68,2.3431,0,13.4416,0.13,0.6893,20.6354,5.2947,6.8924,5.1348,0,0,0,0.13,0,0,16.4407,-5.8283,0,-11.1783,0,7.0376,3.2862,0.2731,6.7907,48.4848,-2.5969,1.5593,5.0131,0.1431,11.4669,0,-6.1014,0,0,-10.2445,11.3876,0,0,-2.3238,0,0.13,184.436,73.3173,0,-9.7818,20.8537,0,1.26,-11.1521,3.8831,17.3671,-2.4538,-5.9673,-3.7776,0.4031,0,3.7138,0,-2.4538,3.4669,0,0,0.13,0,16.6983,0,0.13,7.7645,-2.4538,-1.6345,-2.0507,0,0,6.1431,-2.5969,0,-2.5969,0,0,-8.6721,3.5969,-1.4538,0,0.13,0,-1.7269,13.4538,0,0,0,0,0.9762,7.5176,0,0,-7.2576,-5.1938,0,0.8569,0,0,0,0.13,0.4031,0,0,0,-0.978,0,-2.3107,0,0,0,-2.3238,-6.4252,-5.1938,0.1431,-2.5969,0,0,0,-1.48,0,0,0,0,0,3.3238,0,0,-2.4538,0,0.4162,0,-2.4669,-2.5969,0,0.4031,-2.5969,0,0.2731
11-Nov,7.8016,7.204597,0,16.783792,0.1431,0.737991,27.910198,5.832089,7.670788,15.636076,0,0,0,0.1431,0,0,16.365109,-6.967921,0,-13.692421,0,8.188312,3.431194,0.293697,8.039609,48.780576,-3.173203,1.594891,5.617497,0.150597,13.250103,0,-7.391618,0,0,-12.152215,12.692812,0,0,-2.879506,0,0.2731,202.46532,85.182351,0,-17.775966,16.607419,0,1.6762,-15.107427,3.734397,2.039477,-2.892606,-9.327851,-4.902112,-0.173203,0,4.178806,0,-3.022606,3.900103,0.13,0,0.2731,0,17.174821,0,0.2731,8.504615,-3.022606,-2.011515,-2.455809,0,0,6.630597,-3.173203,0.13,-3.173203,0,0,-10.809827,4.173203,-2.022606,0,0.1431,0,-2.056303,16.152606,0,0,0,0,0.111494,8.225912,0,0,-8.939712,-6.346406,0,0.849403,0,0,0,0.1431,0.436797,0,0,0,-6.33886,0,-2.872009,0,0,0,-3.749506,-8.531124,-6.086406,0.150597,-3.173203,0,0,0,-2.0376,0,0,0,0,0,3.749506,0,0.13,-2.892606,0,0.444294,0,-3.030103,-3.173203,0,0.436797,-3.043203,0,0.293697
11-Dec,8.396992,7.82380639,0,19.59825104,0.150597,0.88967317,30.27021026,6.07077643,12.58121356,17.62814212,0,0,0,0.150597,0.13,0,16.46612383,-8.15454227,0,-16.38435727,0,9.03830344,3.44875278,0.43342339,8.75243883,49.45335712,-3.46667961,1.73907617,6.31292939,0.15282639,14.15748261,0,-8.47106566,0,0,-13.80459205,13.64671844,0,0,-3.29325622,0,0.293697,222.8177484,97.32542637,0,-22.18743642,14.49754353,0,1.730494,-17.69399849,3.96853239,-6.79656801,-3.17075322,-10.74251137,-5.60710944,-0.59667961,0,4.47194722,0,-3.44385322,4.30298261,0.2731,0.13,0.423697,0,17.50844527,0,0.293697,9.30558005,-3.44385322,-2.26048305,-2.71673283,0.13,0,7.32042639,-3.59667961,0.2731,-3.59667961,0,0,-12.47948649,4.46667961,-2.57385322,0,0.150597,0,-2.59107661,18.06695322,0,0,0,0,-0.51008622,8.61661544,0,0,-9.79542144,-7.19335922,0,0.71717361,0,0,0,0.150597,0.45402039,0,0,0,-9.3934682,0,-3.29102683,0,0,0,-4.24015622,-9.66052188,-6.90715922,0.15282639,-3.59667961,0.13,0,0,-2.318312,0,0,0,0,0,4.02015622,0,0.1431,-3.30075322,0,0.45624978,0,-3.44608261,-3.46667961,0,0.45402039,-3.45357961,0,0.30342339
12-Jan,12.96093504,8.856380649,0,24.82331664,0.41282639,1.289496928,31.24611499,6.133471824,13.34316016,19.88215736,0.13,0,0,0.41282639,0.1431,0,17.20305346,-7.907865145,0,-16.30556919,0,9.592146633,4.361093099,0.706174439,9.161412512,53.68525941,-3.596808171,1.746670538,6.869430659,0.150248049,15.32939978,0,-8.218436584,0,0,-14.74759363,14.02583268,0,0,-3.436833731,0,0.56342339,235.7004015,108.4244314,0,-23.40213671,17.3437293,0,2.66744378,-19.37109288,3.980198269,-5.745111479,-3.295963121,-11.32343036,-6.013393853,-0.349908171,0.13,4.601615901,0.13,-3.719660121,4.696484781,0.293697,0.1431,0.70652339,0,18.44345375,0,0.43342339,9.967281194,-3.719660121,-2.256739804,-2.450062292,0.4031,0,7.741660049,-3.869908171,0.293697,-3.739908171,0,0,-13.18779544,4.596808171,-2.992760121,0,0.15282639,0,-2.734640561,19.90785712,0,0,0.26,0,0.995794169,8.839750073,0,0.13,-10.31169729,-7.739816341,0,0.576651951,0,0,0,0.15282639,0.715900829,0,0.13,0,-6.490811534,0,-3.439412072,0,0,0,-4.764536731,-9.527164316,-7.438622341,0.150248049,-3.869908171,0.1431,0,0,-2.18140344,0.26,0,0,0,0,4.143136731,0,0.150597,-3.569063121,0,0.453322489,0,-3.717081781,-3.726808171,0,0.455900829,-3.719311171,0,0.433074439
12-Feb,14.11965572,8.950006063,0,28.08117619,0.566448049,1.310653402,31.50704579,5.905893524,13.22861729,20.53430636,0.1431,0,0,0.436448049,0.150597,0,16.72019853,-8.088619778,0,-16.92549285,0,9.602841107,4.181366592,0.73046515,9.154646451,54.2934137,-3.70601963,1.731105353,6.894198882,0.143420101,15.58424324,0,-8.254517318,0,0,-15.25386725,13.97626052,0,0,-3.43294848,0,0.719274439,242.0237773,109.940803,0,-26.14330286,18.02498462,0.13,2.890675269,-20.56934504,3.861291613,-8.486447256,-3.409773139,-11.97655454,-6.398648009,-0.68731663,0.2731,4.580269238,0.1431,-3.596296529,4.709742191,0.30342339,0.280597,0.869871439,0,18.70165778,0.13,0.446174439,9.993793787,-3.856296529,-2.125668688,-2.536556939,0.436797,0,8.008520541,-3.99971663,0.30342339,-3.85661663,0,0,-13.17963962,4.57601963,-3.149993529,0,0.150248049,0,-2.9818089,20.41743492,0,0,0.2862,0,0.991212693,8.67537874,0,0.1431,-10.66699464,-7.99943326,0,0.562882899,0,0,0,0.150248049,0.7301162,0,0.1431,0,-6.033696189,0,-3.569776428,0,0,0,-4.61354309,-9.411327578,-7.69378048,0.143420101,-3.99971663,0.150597,0,0,-2.262743633,0.2862,0,0,0,0,4.12952509,0,0.15282639,-3.703470139,0,0.437088252,0,-3.719468581,-3.84911963,0,0.4439162,-3.84689024,0,0.43676815
12-Mar,14.71891467,8.925768754,0,30.55081449,2.537714101,1.680374627,30.65667214,5.523896248,12.85867019,20.88521127,0.150597,0,0,0.444614101,0.15282639,0,16.70402313,-7.688640354,0,-16.59565936,0,9.324380901,3.924171739,0.730412836,9.133917602,54.36195014,-3.563129355,2.085163526,6.999664316,0.132972345,15.66607506,0,-7.94935446,0,0,-14.47189749,13.54235776,0,0,-3.426463299,0,0.73796215,243.1041021,108.7473134,0,-26.59605332,19.92736486,0.2731,2.80486335,-20.61069163,3.858436873,-7.059056038,-3.409908961,-12.00506967,-6.423417309,-0.940364745,0.293697,4.423649163,0.150597,-3.3173804,4.580381594,0.433074439,0.29592639,1.02078854,0,18.12299167,0.1431,0.44426515,9.747841307,-3.8635804,-2.143934623,-2.018305413,0.45402039,0,7.998439368,-3.996552745,0.303074439,-3.845955745,0,0,-13.14691021,4.420029355,-3.16700379,0,0.143420101,0,-2.984806137,21.58353189,0,0,0.301194,0,0.967352985,8.267183179,0,0.150597,-10.66675242,-7.99310549,0,0.563604265,0,0,0,0.143420101,0.721006547,0,0.150597,0,-3.351281492,0,-3.450011055,0,0,0,-4.67924252,-8.554734687,-7.692609391,0.132972345,-3.996552745,0.15282639,0,0,-2.108067497,0.301194,0,0,0.13,0,3.99338886,0,0.150248049,-3.713332351,0.13,0.409364791,0,-3.710032644,-3.843726355,0,0.419812547,-3.846304696,0,0.426989446
12-Apr,21.75668028,8.436182113,0,31.33696453,2.865722125,1.66271249,29.16163569,5.274381813,12.0399577,20.88446935,0.15282639,0,0,0.438625125,0.280248049,0,15.43834458,-6.717999663,0,-15.10093943,0,9.184035289,3.734971219,0.838453368,8.77124411,53.75277444,-3.167634226,2.071260976,6.844593277,0.119580194,15.51974144,0,-7.086227253,0,0,-13.54396778,12.64557454,0,0,-3.187832737,0.13,0.732642226,237.7232714,110.9307533,0,-23.49564712,22.57168614,0.293697,2.643486723,-20.29958282,3.990114502,-2.402632261,-3.307733931,-11.2405812,-6.22300716,-1.109897106,0.30342339,4.149981621,0.15282639,-3.036834472,4.45654561,0.43676815,0.300845049,1.155990275,0,17.33850242,0.150597,0.429218836,9.264048836,-3.754228472,-1.966055925,-1.891329878,0.455900829,0,8.09941313,-3.873808666,0.42366815,-3.720982276,0,0,-12.17304642,4.147037226,-2.927302911,0,0.132972345,0,-2.867959467,21.75551321,0,0,0.30565278,0,1.646858657,7.651791678,0,0.15282639,-10.08653184,-7.747617331,0,0.577345367,0,0,0,0.262972345,0.821177664,0,0.15282639,0,-1.10656982,0,-3.338721888,0,0,0,-4.537994731,-7.257159045,-7.330777129,0.119580194,-3.873808666,0.150248049,0,0,-1.71561695,0.30565278,0,0,0.1431,0,3.751064587,0,0.143420101,-3.610808371,0.1431,0.372132732,0,-3.590239321,-3.723560616,0,0.385524884,-3.730388565,0,0.405378929
